0.022,-0.998,0.019
0.031,-1.001,0.019
0.027,-0.997,0.019
0.028,-1.003,0.025
0.027,-1.003,0.021
0.029,-1.002,0.027
0.03,-0.998,0.028
0.026,-0.995,0.022
0.028,-1.005,0.02
0.025,-0.999,0.02
0.029,-0.999,0.022
0.029,-1.001,0.025
0.032,-1,0.023
0.03,-1.005,0.021
0.022,-0.998,0.021
0.021,-0.998,0.014
0.019,-1.004,0.02
0.023,-1.001,0.022
0.028,-1,0.01
0.027,-0.996,0.011
0.03,-0.997,0.026
0.027,-1.001,0.022
0.03,-1,0.026
0.03,-0.995,0.027
0.027,-0.999,0.022
0.025,-1.001,0.015
0.022,-1,0.021
0.027,-0.998,0.015
0.027,-1.001,0.021
0.032,-1.001,0.021
0.028,-1.005,0.026
0.021,-0.994,0.02
0.021,-0.995,0.015
0.021,-1.001,0.016
0.025,-0.996,0.021
0.025,-0.997,0.022
0.029,-0.997,0.02
0.026,-1.003,0.027
0.031,-0.999,0.019
0.031,-0.999,0.029
0.029,-1.003,0.022
0.027,-1.001,0.024
0.02,-0.996,0.021
0.026,-1,0.02
0.022,-0.997,0.016
0.026,-0.999,0.01
0.03,-1.002,0.022
0.022,-1.001,0.018
0.025,-0.997,0.016
0.028,-1.002,0.01
0.017,-1.001,0.012
0.021,-1,0.016
0.028,-1,0.015
0.029,-0.997,0.02
0.03,-1,0.017
0.03,-1,0.021
0.028,-0.998,0.018
0.029,-0.998,0.026
0.028,-1,0.024
0.025,-0.998,0.023
0.025,-1,0.02
0.024,-1,0.017
0.021,-0.996,0.016
0.025,-1,0.013
0.026,-0.999,0.018
0.025,-0.999,0.011
0.021,-1,0.022
0.024,-0.999,0.016
0.023,-0.999,0.013
0.025,-0.995,0.02
0.024,-0.999,0.011
0.027,-1.002,0.016
0.029,-1.004,0.018
0.027,-0.999,0.022
0.027,-0.994,0.021
0.029,-1.004,0.026
0.028,-0.997,0.018
0.027,-0.999,0.027
0.027,-0.999,0.017
0.021,-1.004,0.015
0.029,-1.002,0.013
0.03,-0.995,0.023
0.031,-0.998,0.018
0.026,-1.002,0.01
0.029,-1,0.016
0.024,-0.994,0.021
0.019,-1,0.013
0.026,-1.003,0.016
0.027,-1.002,0.019
0.032,-1,0.019
0.026,-0.998,0.025
0.029,-1.003,0.021
0.023,-1.001,0.021
0.025,-0.995,0.026
0.026,-0.996,0.017
0.025,-1,0.021
0.024,-1,0.014
0.027,-0.997,0.017
0.024,-0.998,0.015
0.027,-1.001,0.02
0.024,-1.004,0.018
0.021,-0.995,0.023
0.018,-0.995,0.015
0.022,-0.999,0.026
0.027,-1.002,0.017
0.028,-0.999,0.019
0.029,-0.997,0.021
0.03,-1.004,0.017
0.03,-0.998,0.025
0.025,-1.004,0.021
0.031,-0.998,0.023
0.026,-0.993,0.028
0.028,-1.001,0.017
0.02,-1.001,0.024
0.028,-0.999,0.017
0.025,-1,0.024
0.025,-1.002,0.022
0.027,-1.002,0.023
0.026,-0.996,0.021
0.029,-0.995,0.017
