0.031,1.006,0.021
0.035,1.009,0.022
0.033,1.006,0.019
0.03,1.005,0.015
0.033,1.008,0.014
0.033,1.003,0.019
0.032,1.017,0.027
0.032,1.01,0.018
0.034,1.007,0.017
0.029,1.004,0.02
0.026,1.007,0.022
0.029,1.008,0.022
0.027,1.004,0.021
0.032,1.006,0.023
0.031,1.011,0.021
0.032,1.01,0.026
0.029,1.005,0.019
0.032,1.006,0.019
0.033,1.006,0.021
0.032,1.008,0.021
0.034,1.004,0.021
0.034,1.007,0.023
0.031,1.007,0.026
0.029,1.008,0.024
0.031,1.009,0.021
0.032,1.006,0.022
0.034,1.011,0.015
0.037,1.009,0.018
0.036,1.009,0.016
0.028,1.006,0.019
0.034,1.012,0.019
0.029,1.011,0.023
0.031,1.004,0.019
0.03,1.007,0.022
0.029,1.005,0.018
0.032,1.013,0.022
0.033,1.008,0.021
0.028,1.007,0.022
0.033,1.007,0.027
0.03,1.009,0.02
0.032,1.008,0.026
0.029,1.006,0.014
0.03,1.009,0.02
0.027,1.007,0.02
0.034,1.006,0.012
0.033,1.005,0.019
0.031,1.011,0.016
0.031,1.009,0.017
0.031,1.007,0.022
0.032,1.002,0.02
0.033,1.008,0.019
0.034,1.006,0.022
0.032,1.005,0.024
0.033,1.007,0.021
0.035,1.005,0.025
0.032,1.009,0.023
0.032,1.007,0.017
0.033,1.008,0.02
0.035,1.008,0.019
0.034,1.004,0.015
0.03,1.008,0.018
0.028,1.005,0.019
0.031,1.009,0.019
0.037,1.006,0.019
0.032,1.007,0.017
0.031,1.006,0.022
0.033,1.006,0.016
0.029,1.009,0.021
0.03,1.005,0.015
0.03,1.006,0.021
0.031,1.007,0.015
0.026,1.009,0.019
0.034,1.007,0.027
0.037,1.004,0.019
0.033,1.005,0.017
0.035,1.011,0.018
0.028,1.008,0.013
0.032,1.005,0.016
0.029,1.007,0.022
0.03,1.006,0.013
0.03,1.008,0.022
0.031,1.004,0.015
0.03,1.008,0.026
0.032,1.009,0.02
0.035,1.009,0.019
0.031,1.008,0.02
0.032,1.006,0.022
0.028,1.009,0.02
0.026,1.008,0.021
0.032,1.007,0.023
0.032,1.004,0.017
0.026,1.005,0.015
0.03,1.011,0.02
0.033,1.007,0.019
0.029,1.005,0.017
0.033,1.007,0.021
0.03,1.008,0.019
0.034,1.008,0.025
0.027,1.008,0.023
0.032,1.009,0.024
0.031,1.005,0.023
0.032,1.006,0.018
0.031,1.004,0.021
0.029,1.008,0.011
0.031,1.007,0.021
0.031,1.01,0.018
0.03,1.005,0.016
0.032,1.005,0.015
0.03,1.011,0.026
0.035,1.01,0.019
0.03,1.006,0.015
0.032,1.002,0.018
0.028,1.007,0.016
0.029,1.011,0.019
0.027,1.003,0.024
0.029,1.003,0.018
0.032,1.008,0.023
0.028,1.01,0.019
0.033,1.005,0.023
0.031,1.007,0.018
0.035,1.008,0.016
0.033,1.005,0.02
0.033,1.004,0.022
0.031,1.005,0.021
0.032,1.007,0.023
0.031,1.004,0.021
0.031,1.009,0.021
0.029,1.006,0.02
0.033,1.006,0.023
0.026,1.007,0.02
0.03,1.011,0.016
0.029,1.005,0.024
0.03,1.007,0.021
0.03,1.009,0.021
0.032,1.012,0.019
0.027,1.007,0.02
0.031,1.005,0.017
0.032,1.007,0.025
0.036,1.007,0.017
0.032,1.007,0.018
0.032,1.008,0.016
0.029,1.01,0.011
0.033,1.005,0.014
0.029,1.003,0.018
0.031,1.008,0.015
0.031,1.008,0.019
0.029,1.003,0.022
0.032,1.008,0.018
0.033,1.006,0.025
0.03,1.005,0.019
0.03,1.006,0.017
0.034,1.007,0.017
0.029,1.008,0.019
0.032,1.011,0.015
0.026,1.004,0.025
0.03,1.007,0.023
0.032,1.013,0.013
0.033,1.01,0.019
0.033,1.005,0.019
0.029,1.009,0.019
0.034,1.009,0.019
0.031,1.008,0.016
0.033,1.008,0.018
0.032,1.009,0.018
0.031,1.006,0.024
0.032,1.006,0.023
0.03,1.01,0.026
0.034,1.005,0.024
0.033,1.008,0.021
0.031,1.011,0.019
0.03,1.011,0.018
0.033,1.003,0.014
0.03,1.006,0.017
0.035,1.007,0.026
0.032,1.008,0.016
0.032,1.008,0.019
0.032,1.008,0.022
0.028,1.01,0.024
0.036,1.008,0.022
0.029,1.007,0.022
0.032,1.005,0.018
0.031,1.01,0.023
0.029,1.008,0.015
0.033,1.008,0.021
0.029,1.004,0.022
0.032,1.01,0.019
0.032,1.009,0.019
0.034,1.004,0.019
0.032,1.007,0.022
0.029,1.014,0.025
0.03,1.002,0.013
0.031,1.008,0.021
0.033,1.004,0.022
0.028,1.008,0.014
0.035,1.009,0.02
0.033,1.007,0.019
0.033,1.008,0.021
0.03,1.008,0.023
0.032,1.01,0.021
0.031,1.011,0.019
0.032,1.009,0.021
0.031,1.006,0.021
0.03,1.005,0.023
0.031,1.004,0.021
0.032,1.01,0.017
0.035,1.012,0.015
0.033,1.008,0.022
0.03,1.005,0.022
0.032,1.01,0.024
0.031,1.011,0.019
0.031,1.002,0.02
0.031,1.009,0.023
0.03,1.008,0.019
0.029,1.011,0.015
0.033,1.004,0.02
0.031,1.006,0.021
0.026,1.006,0.021
0.031,1.005,0.018
0.032,1.004,0.017
0.032,1.01,0.016
0.031,1.01,0.021
0.032,1.009,0.02
0.032,1.004,0.014
0.03,1.008,0.02
0.032,1.009,0.023
0.034,1.007,0.021
0.031,1.006,0.023
0.031,1.007,0.015
0.032,1.009,0.014
0.03,1.011,0.014
0.027,1.006,0.021
0.028,1.01,0.021
0.029,1.007,0.014
0.032,1.011,0.019
0.032,1.003,0.02
0.03,1.01,0.024
0.032,1.007,0.024
0.032,1.003,0.022
0.029,1.005,0.021
0.031,1.007,0.019
0.027,1.01,0.019
0.028,1.011,0.018
0.03,1.006,0.021
0.031,1.005,0.023
